Key,Description,en,ja
saveText_858168,UI Text,SAVE,セーブ
availableLabel_856046,UI Text,"SAVES
AVAILABLE:",セーブ
NoQsText_856498,UI Text,"QUICKSAVE
NOT AVAILABLE",クイックセーブ
lastSaveLabel_859496,UI Text,Last Save:,最後のセーブ:
loadText_858842,UI Text,LOAD,ロード
text_855302,UI Text,SAVED,セーブ完了
Quicksave Title_123840,UI Text,Quicksave,クイックセーブ
TgtsTitle_857670,UI Text,GPS TARGETS,GPSターゲット
GroupsTitle_860122,UI Text,GROUPS,グループ
DelTgt_857782,UI Text,"DELETE
TARGET","ターゲット
削除"
DelGrp_856478,UI Text,"DELETE
GROUP","グループ
削除"
NewGrp_859040,UI Text,"NEW
GROUP",グループ
pathLabel_857952,UI Text,PATH,経路
NoSignalText_859948,UI Text,NO SIGNAL,信号なし
Text_857566,UI Text,AREA,
Text_856980,UI Text,POINT,
Text_856590,UI Text,IFF:FRIEND,IFF:味方
Text_859178,UI Text,IFF:FOE,IFF:敵
HeadModeText_855284,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED",
gimbalLimit_858032,UI Text,GIMBAL LIMIT,GIMBAL LIMIT
hmdViewStatus_856300,UI Text,HMD,HMD
titleText_456206,UI Text,FLARES,フレア
titleText_455052,UI Text,CHAFF,チャフ
eqNameText_456958,UI Text,COUNTERMEASURE SYSTEM,妨害システム
ReleaseRateTitle_456222,UI Text,RELEASE RATE,散布速度
releaseModeTxt_455244,UI Text,RELEASE MODE,散布モード
eqNameText_930458,UI Text,VEHICLE OPTIONS,機体設定
AltModeLabel_953220,UI Text,UNITS,単位
unitOptsText_702428,UI Text,FUEL,燃料
unitOptsText_702142,UI Text,ALT WARN,高度警告
JoyModeText_952514,UI Text,JOY SENS,JOY感度
eqNameText_701656,UI Text,UNIT OPTIONS,単位設定
Text_954730,UI Text,"Sit comfortably
and press menu
(top button)
to recenter","
シートに正しく座って
VRコントローラーの
メニューボタンを
押すとリセットされます"
AltModeLabel_701584,UI Text,Alt Units,高度単位
DistModeLabel_954954,UI Text,Dist Units,距離単位
SpeedModeLabel_955738,UI Text,Speed Units,速度単位
eqNameText_702892,UI Text,FUEL CONFIG,燃料設定
internalFuelText_-432922,Internal Fuel,INTERNAL,内部
externalFuelText_701646,External fuel,EXTERNAL,外部
BingoAdjustTitle_-439040,UI Text,BINGO LEVEL,燃料警告レベル
eqNameText_701974,UI Text,ALTITUDE WARNINGS,高度警告
title_702284,UI Text,MIN ALTITUDE,最低高度
title_701018,UI Text,MAX ALTITUDE,最高高度
modeTitle_702386,UI Text,MODE,
MFD1PowerInteractable_856422,VR Interactable,MFD Power (Left),MFD電源（左）
MFDBrightnessKnob_858866,VR Interactable,MFD Brightness,MFD輝度
MFD2PowerInteractable_856476,VR Interactable,MFD Power (Center),MFD電源（中）
MFD3PowerInteractable_857594,VR Interactable,MFD Power (Right),MFD電源（右）
CrsKnobInteractable_858264,VR Interactable,Course Set,コース設定
Text_859426,UI Text,CRS,
APHeadingKnobInteractable_859312,VR Interactable,AP Heading Set,オートパイロット・ヘディングセット
RWRText_856538,UI Text,"R
W
R",
Text_859504,UI Text,VRMMFD v1.6,
fuelDrainLabel_859218,UI Text,FUEL DRAIN,燃料消費
estTimeLabel_856372,UI Text,EST TIME,飛行可能時間
estDistLabel_856044,UI Text,EST DISTANCE,飛行可能距離
twrLabel_858560,UI Text,MAX TWR,最高推重比
RWRButton_857352,VR Interactable,RWR,レーダー警報装置
powButtonMMFDLeft_859524,VR Interactable,Power (MMFD Left),MMFD電源（左）
FuelText_858474,UI Text,"F
U
E
L",
InfoLabel_857034,UI Text,"I
N
F
O",
powButtonMMFDRight_855584,VR Interactable,Power (MMFD Right),MMFD電源（右）
infoButton_859450,VR Interactable,Fuel Info,燃料情報
fuelButton_855474,VR Interactable,Fuel,燃料
mainBattSwitchInteractable_858600,VR Interactable,Main Battery,メインバッテリー
fuelDumpSwitchInteractable_197570,VR Interactable,Fuel Dump Switch,燃料投棄スイッチ
RampInteractable_858370,VR Interactable,Side Doors,サイドドア
BrakeLockInteractable_859740,VR Interactable,Brake Locks,ブレーキロック
MicPowerInteractable_855850,VR Interactable,Microphone,マイク
CommsVolumeKnob_858450,VR Interactable,Comm Radio Volume,通信音量
Text_98822,UI Text,"GAME WINDOW
NOT IN FOCUS","ゲームウィンドウが
フォーカスされていません"
ChaffInteractable_859410,VR Interactable,Toggle Chaff,チャフ切替
FlareInteractable_856806,VR Interactable,Toggle Flares,フレア切替
AssistMasterInteractable_860160,VR Interactable,Toggle Flight Assist,フライトアシスト切替
PitchSASInteractable_855582,VR Interactable,Toggle Pitch Assist,ピッチアシスト切替
YawSASInteractable_859920,VR Interactable,Toggle Yaw Assist,ヨーアシスト切替
RollSASInteractable_859788,VR Interactable,Toggle Roll Assist,ロールアシスト切替
PitchAutoTrimInteractable_859614,VR Interactable,Toggle Pitch Trim,ピッチトリム切替
GLimitSwitchInteractable_860152,VR Interactable,Toggle G-Limiter,G-リミッター切替
FuelPort_860018,VR Interactable,Fuel Port,給油口
RCSModeInteractable_858010,VR Interactable,RCS Mode,姿勢制御モード（RCS）
RadioVolumeKnob_859248,VR Interactable,Radio Volume,ラジオ音量
PrevButton_857278,VR Interactable,Prev Song,前の曲
NextButton_858006,VR Interactable,Next Song,次の曲
radioPlayPauseInteractable_858616,VR Interactable,Play/Pause,再生/一時停止
RWRModeInteractable_856254,VR Interactable,RWR Mode,RWRモード
CamcorderObj_105218,VR Interactable,Move Camera,カメラ移動
