Key,Description,en,ja
GBU-12 Laser Guided Bomb x3_description,Item description of: GBU-12 Laser Guided Bomb x3,A rack of three 500lb laser guided bomb.,500ポンドのレーザー誘導爆弾 x3
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,
s_lgbMode_0,Laser guided bomb targeting mode,LASER,
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,
BSM-66_fullName,Full equip name of: BSM-66,BSM-66,BSM-66
BSM-66_description,Item description of: BSM-66,Standard radar-guided missile.,標準的なレーダー誘導型のミサイル
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,RG252連装ガトリング砲
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,25mm2連装ガトリング砲
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,
GBU-38 Bomb x4_fullName,Full equip name of: GBU-38 Bomb x4,GBU-38 Bomb x4,
GBU-38 Bomb x4_description,Item description of: GBU-38 Bomb x4,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500ポンドのGPS誘導爆弾 x4。Mk.82爆弾に誘導アタッチメントを付けたもの。
eqSublabel_GPS-BOMB-INTERNAL,HUD sub-label of an equip,GPS BOMB INTERNAL,
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,標準的な赤外線誘導式の空対空ミサイル
eqSublabel_IR,HUD sub-label of an equip,IR,
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500ポンドのGPS誘導爆弾 x3。Mk.82爆弾に誘導アタッチメントを付けたもの。
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,
AGM-161 Anti Surface Stand-off Missile_fullName,Full equip name of: AGM-161 Anti Surface Stand-off Missile,AGM-161 Anti Surface Stand-off Missile,AGM-161 空対地巡航ミサイル
AGM-161 Anti Surface Stand-off Missile_description,Item description of: AGM-161 Anti Surface Stand-off Missile,A cruise missile designed to deliver a large payload to a ground target over a long distance.  It follows a pre-programmed GPS course with automatic terrain avoidance.,大型のペイロードを搭載する地上目標を攻撃することができる長射程の巡航ミサイル。 あらかじめ設定された経路に沿って、自動的に地形を回避することができます。
eqSublabel_GPS-CRUISE,HUD sub-label of an equip,GPS CRUISE,
AGM-188 MARM_fullName,Full equip name of: AGM-188 MARM,AGM-188 MARM,AGM-188 MARM
AGM-188 MARM_description,Item description of: AGM-188 MARM,Medium range anti-radiation missile with a unique top down attack angle.,トップダウンの攻撃パターンが特徴の中距離対レーダーミサイル
eqSublabel_ARM,HUD sub-label of an equip,ARM,
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,中距離のレーダー誘導型空対空ミサイル
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","推力偏向制御による短距離赤外線誘導空対空ミサイル。
操縦性、航続距離、対妨信システムの向上。"
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","推力偏向制御による短距離赤外線誘導空対空ミサイル。
操縦性、航続距離、対妨信システムの向上。"
Hydra-70 4x4 Rocket Pod_fullName,Full equip name of: Hydra-70 4x4 Rocket Pod,Hydra-70 4x4 Rocket Pod,Hydra-70 4x4 ロケット弾
Hydra-70 4x4 Rocket Pod_description,Item description of: Hydra-70 4x4 Rocket Pod,"A cluster of pods carrying a total of 16 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",16発の高性能ロケット弾を搭載した発射ポッド。 単発でも連射でもOK。
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,GBU-12 レーザー誘導爆弾
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,500ポンドのレーザー誘導爆弾
GAU-8 Avenger_fullName,Full equip name of: GAU-8 Avenger,GAU-8 Avenger,GAU-8 アヴェンジャー
GAU-8 Avenger_description,Item description of: GAU-8 Avenger,"A 30mm, 7-barrel rotary cannon. Fires depleted uranium rounds at a high rate of fire.",30mm7連装ガトリング砲。 劣化ウラン製の徹甲弾を高レートで発射する。
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGM-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",中距離光学誘導式「撃ちっぱなし可能」対戦車ミサイル
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,
AUTO,,AUTO,
MANUAL,,MANUAL,
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,
PAC-3_fullName,Full equip name of: PAC-3,PAC-3,PAC-3
PAC-3_description,Item description of: PAC-3,Radar-guided surface-to-air defense missile.,レーダー誘導式の対空ミサイル
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,4000L 増槽
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,4000Lの投棄可能な外部燃料タンク。
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,標準的な赤外線誘導式空対空ミサイル x2
AIM-9 Sidewinder x3_fullName,Full equip name of: AIM-9 Sidewinder x3,AIM-9 Sidewinder x3,AIM-9 サイドワインダー x3
AIM-9 Sidewinder x3_description,Item description of: AIM-9 Sidewinder x3,A rack of three standard heat-seeking Sidewinder anti-air missiles.,標準的な短距離赤外線誘導空対空ミサイル x3
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,
GBU-39 SD Bomb x4_fullName,Full equip name of: GBU-39 SD Bomb x4,GBU-39 SD Bomb x4,GBU-39 小口径爆弾 x4
GBU-39 SD Bomb x4_description,Item description of: GBU-39 SD Bomb x4,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,GPS誘導式の小口径爆弾を4個。 折りたたみ式のグライダー翼が内蔵されており、長距離を滑空して正確にターゲットを狙うことができます。
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,標準的な500ポンド無誘導爆弾 x3
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,WR-25 ロケットポッド
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,25発の無誘導ロケットを搭載した六角形のポッド
Mk.82 Bomb x4_fullName,Full equip name of: Mk.82 Bomb x4,Mk.82 Bomb x4,
Mk.82 Bomb x4_description,Item description of: Mk.82 Bomb x4,Four standard un-guided 500lb bombs.,4個の標準的な500ポンド無誘導爆弾
eqSublabel_BOMB-INTERNAL,HUD sub-label of an equip,BOMB INTERNAL,
s_cs_granted,Text in campaign selector,Granted,報酬
s_cs_budget,Text in campaign selector,Budget,予算
s_cs_newMission,Text in campaign selector,New Mission:,新しいミッション：
s_cs_newTraining,Text in campaign selector,New Training:,新しい訓練：
s_cs_newEquip,Text in campaign selector,New Equipment:,新しい装備：
s_cs_incompatibleVersion,Text in campaign selector,Incompatible game version,ゲームのバージョンが合わない
campaign_customScenarios,,Custom Scenarios,カスタムシナリオ
campaign_customScenarios_description,,Play custom scenarios created in the VTEditor.,VTエディタで作成した自作タスクを実行します。
campaign_ws,,Steam Workshop Scenarios,Steam Workshop シナリオ
campaign_ws_description,,Play custom scenarios installed through Steam Workshop.,Steamワークショップからインストールしたミッションを実行します。
s_cInfo_completed,'x% [Completed]' text in campaign selector,Completed,完了
AGM-126 SideARM II x2_fullName,Full equip name of: AGM-126 SideARM II x2,AGM-126 SideARM II x2,
AGM-126 SideARM II x2_description,Item description of: AGM-126 SideARM II x2,Compact short range anti-radiation missile based on the AIM-9x.,AIM-9xをベースとした小型短距離対レーダーミサイル x2
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,500L 増槽
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,500Lの外部燃料タンク。
Mk-82AIR High Drag Bomb x2_fullName,Full equip name of: Mk-82AIR High Drag Bomb x2,Mk-82AIR High Drag Bomb x2,
Mk-82AIR High Drag Bomb x2_description,Item description of: Mk-82AIR High Drag Bomb x2,Standard un-guided 500lb bombs. Deploys an inflatable drag chute to slow descent for low altitude bombing.,標準的な500ポンド無誘導爆弾 x2。膨張式の減速パラシュートを装備して降下を遅らせ、低空での爆撃に適しています。
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","25mm4連装ガトリング砲
射撃速度：3300/分"
GMA-14 x3_fullName,Full equip name of: GMA-14 x3,GMA-14 x3,GMA-14 x3
GMA-14 x3_description,Item description of: GMA-14 x3,A rack of 3 laser guided anti-tank missiles.,レーザー誘導式の対戦車ミサイル x3
eqSublabel_LG,HUD sub-label of an equip,LG,
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,中距離の対レーダーミサイル
AIRS-T Advanced SRM_fullName,Full equip name of: AIRS-T Advanced SRM,AIRS-T Advanced SRM,AIRS-T Advanced SRM
AIRS-T Advanced SRM_description,Item description of: AIRS-T Advanced SRM,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","推力偏向制御による短距離赤外線誘導空対空ミサイル。
操縦性、航続距離、対妨信システムが向上。"
GBU-39 SD Bomb x3_fullName,Full equip name of: GBU-39 SD Bomb x3,GBU-39 SD Bomb x3,
GBU-39 SD Bomb x3_description,Item description of: GBU-39 SD Bomb x3,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,GPS誘導式の小口径爆弾 x3。 折りたたみ式のグライダー翼が内蔵されており、長距離を滑空して正確にターゲットを狙うことができます。
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,AN/AAQ-28 ターゲッティングポッド
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,ターゲティングとトラッキングのためのセンサーポッドで、光学とレーザーを搭載。 誘導兵器に必要な装置。
2200L Fuel Drop Tank_fullName,Full equip name of: 2200L Fuel Drop Tank,2200L Fuel Drop Tank,2200L 二次燃料タンク
2200L Fuel Drop Tank_description,Item description of: 2200L Fuel Drop Tank,A 2200 liter fuel tank.,2200リットルの二次燃料タンク
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 対艦巡航ミサイル x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.",空中発射型対艦巡航ミサイル x2。パス・クルージング、レーダーによる目標捕捉、ターミナル制御技術を搭載。
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,ターミナルモード
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,ターゲットなし
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,射程外
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,射程内
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,経路
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,ポイント
s_asmTmode_0,Antiship terminal guidance mode,Direct,ダイレクト
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,超低空飛行
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,
s_asmTmode_3,Antiship terminal guidance mode,Popup,ポップアップ
AIM-9 Sidewinder_fullName,Full equip name of: AIM-9 Sidewinder,AIM-9 Sidewinder,AIM-9 サイドワインダー
AIM-9 Sidewinder_description,Item description of: AIM-9 Sidewinder,A standard short range heat seeking air to air missile.,標準的な短距離赤外線誘導式空対空ミサイル
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,フルリロードすると予算オーバーになってしまいます！
vehicleConfig_countermeasures,,Countermeasures,妨害システム
vehicleConfig_flareLabel,,IR Flares,フレア
vehicleConfig_flareKnob,,Set flares,フレア
vehicleConfig_chaffLabel,,ECM Chaff,チャフ
vehicleConfig_chaffKnob,,Set chaff,チャフ
vehicleConfig_repairButton,,Repair,修理
vehicleConfig_repairButtonText,,Repair,修理
vehicleConfig_repairCostLabel,,Repair cost:,修理費用：
vehicleConfig_totalMass,,Total mass:,総重量：
vehicleConfig_fuelKnob,,Set fuel,燃料設定
vehicleConfig_flightCost,,Flight cost:,フライトコスト：
vehicleConfig_budget,,Budget:,予算：
vehicleConfig_equipMass,,Mass:,重量：
vehicleConfig_hardpoint,,Hardpoint,ハードポイント
vehicleConfig_none,,None,なし
vehicleConfig_saveLoad,,Save/load,セーブ/ロード
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,装備なし
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,このハードポイントの機器は現在使用できません
vehicleConfig_equipCost,,Cost:,費用：
vehicleConfig_count,,Count:,数量：
vehicleConfig_fuel,,FUEL,燃料
vehicleConfig_equipButton,,Equip,装備
vehicleConfig_detachButton,,Detach,取り外し
vehicleConfig_previous,,Next,前へ
vehicleConfig_next,,Next,次へ
vehicleConfig_backButton,,Back,戻る
vehicleConfig_availableEquipment,,"Available
equipment","利用可能
装備"
vehicleConfig_scroll,,Scroll,スクロール
vehicleConfig_returnToAircraft,,Return to aircraft,飛行機に戻る
vehicleConfig_reloadAll,,Reload all,全てリロード
vehicleConfig_endMission,,End mission,ミッション終了
vehicleConfig_symmetry,,Symmetry,対称配置
vehicleConfig_symmetryButton,,Toggle symmetry,対称配置の切替
vehicleConfig_load,,Load,ロード
vehicleConfig_save,,Save,セーブ
vehicleConfig_saveNew,,Save new...,新しくセーブ...
vehicleConfig_overwrite,,Overwrite...,上書き...
vehicleConfig_delete,,Delete,削除
CG25 Twin Chaingun_fullName,Full equip name of: CG25 Twin Chaingun,CG25 Twin Chaingun,CG25 二連装チェーンガン
CG25 Twin Chaingun_description,Item description of: CG25 Twin Chaingun,A fixed 25mm dual-barrel chaingun.,固定式25mm二連装チェーンガン
MK-83 x12_fullName,Full equip name of: MK-83 x12,MK-83 x12,MK-83 x12
MK-83 x12_description,Item description of: MK-83 x12,A rack of 12 MK-83 1000lb bombs.,MK-83 1000ポンド爆弾 x12
Mk.82 Bomb x2_fullName,Full equip name of: Mk.82 Bomb x2,Mk.82 Bomb x2,
Mk.82 Bomb x2_description,Item description of: Mk.82 Bomb x2,Two standard un-guided 500lb bombs.,標準的な500ポンド無誘導爆弾 x2
ASF-SRM x3_fullName,Full equip name of: ASF-SRM x3,ASF-SRM x3,ASF-SRM x3
ASF-SRM x3_description,Item description of: ASF-SRM x3,A rack of three standard heat-seeking anti-air missiles.,標準的な赤外線誘導式空対空ミサイル x3
ASMRM-7 x6 Internal_fullName,Full equip name of: ASMRM-7 x6 Internal,ASMRM-7 x6 Internal,ASMRM-7 x6 Internal
ASMRM-7 x6 Internal_description,Item description of: ASMRM-7 x6 Internal,Medium range radar guided air to air missile. Missiles are stowed internally to improve stealth and aerodynamics.,中距離レーダー誘導型の空対空ミサイル。ミサイルは内部マウントに搭載され、ステルス性と空力性能を向上させています。
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,コンフォーマル燃料タンク
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,6400Lの燃料を追加で搭載できるようにする装備。
AGM-114 x4_fullName,Full equip name of: AGM-114 x4,AGM-114 x4,AGM-114 x4
AGM-114 x4_description,Item description of: AGM-114 x4,"A rack of 4 laser guided anti-tank missiles.
Requires continuous lock for guidance (not fire-and-forget).","レーザー誘導式対戦車ミサイル x4
常にロックしておく必要がある（撃ちっぱなしではない）。"
AGM-89 Anti-ship Cruise Missile_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile,AGM-89 Anti-ship Cruise Missile,AGM-89 対艦巡航ミサイル
AGM-89 Anti-ship Cruise Missile_description,Item description of: AGM-89 Anti-ship Cruise Missile,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.",空中発射される対艦巡航ミサイル。経路巡航技術、レーダー目標捕捉技術、ターミナルマヌーバー技術を搭載。
MK-82 x32_fullName,Full equip name of: MK-82 x32,MK-82 x32,MK-82 x32
MK-82 x32_description,Item description of: MK-82 x32,A rack of 32 MK-82 bombs.,
BSM-66LR_fullName,Full equip name of: BSM-66LR,BSM-66LR,BSM-66LR
BSM-66LR_description,Item description of: BSM-66LR,Standard radar-guided missile. Equipped with first stage booster for extended range.,標準的なレーダー誘導型のミサイル。1段のブースターを搭載し、射程を伸ばす。
Mk.82 Bomb x1_fullName,Full equip name of: Mk.82 Bomb x1,Mk.82 Bomb x1,Mk.82 爆弾 x1
Mk.82 Bomb x1_description,Item description of: Mk.82 Bomb x1,Standard un-guided 500lb bomb.,標準的な500ポンド無誘導爆弾
AGM-126 SideARM II x3_fullName,Full equip name of: AGM-126 SideARM II x3,AGM-126 SideARM II x3,AGM-126 対レーダーミサイル x3
AGM-126 SideARM II x3_description,Item description of: AGM-126 SideARM II x3,Compact short range anti-radiation missile based on the AIM-9x.,AIM-9xをベースとした小型短距離対レーダーミサイル x3
4600L Drop Tank_fullName,Full equip name of: 4600L Drop Tank,4600L Drop Tank,4600L 増槽
4600L Drop Tank_description,Item description of: 4600L Drop Tank,A 4600L external fuel drop tank.,4600Lの外部燃料タンク。
AIM-9+ Sidewinder_fullName,Full equip name of: AIM-9+ Sidewinder,AIM-9+ Sidewinder,AIM-9+ サイドワインダー
AIM-9+ Sidewinder_description,Item description of: AIM-9+ Sidewinder,Advanced short range heat seeking air to air missile.,改良型短距離赤外線誘導空対空ミサイル
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 サイドワインダー x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,標準的な短距離赤外線誘導空対空ミサイル x2
interactable_button_grip,,Grip,グリップ
interactable_button_trigger,,Trigger,トリガー
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,クイックロード
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,フライトログ
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","フライトを続ける
この画面を再表示：メニューボタン"
ripple_single,Label when a rapid-fire weapon is set to only fire one shot at a time.,SINGLE,
wmui_ripple,Option title for selecting a rocket/missile's ripple (rapid fire) rate.,RIPPLE,
wmui_rippleTooltip,Tooltip for button to cycle a weapon's ripple (rapid fire) rate.,Cycle Ripple Rates,リップルレートサイクル
s_masterArmed,Master armed label in EQUIP MFD page,MASTER ARMED,
s_masterDisarmed,Master disarmed label in EQUIP MFD page,MASTER DISARMED,
s_eq_armed,Armed label for single equip in EQUIP MFD page,ARMED,
s_eq_disarmed,Disarmed label for single equip in EQUIP MFD page,DISARMED,
s_eq_jettison,Jettison label for single equip in EQUIP MFD page,JETTISON,
s_eqMode_0,Equip MFD page mode label,CONFIG,設定
s_eqMode_1,Equip MFD page mode label,ARMING,
s_eqMode_2,Equip MFD page mode label,JETTISON,投棄
rwrMode_0,RWR mode,On,オン
rwrMode_1,RWR mode,Silent,サイレント
rwrMode_2,RWR mode,Off,オフ
F/A-26B_mfd_cam:B3,Label for an MFD button (short!).,PREV,
F/A-26B_mfd_cam:B5,Label for an MFD button (short!).,NEXT,
F/A-26B_mfd_home:B1,Label for an MFD button (short!).,NAV,
F/A-26B_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,ナビゲーション
F/A-26B_mfd_home:B2,Label for an MFD button (short!).,OBJ,
F/A-26B_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,ミッション目標
F/A-26B_mfd_home:B3,Label for an MFD button (short!).,CAM,
F/A-26B_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,外部カメラ
F/A-26B_mfd_home:B4,Label for an MFD button (short!).,TGP,
F/A-26B_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,ターゲッティングポッド
F/A-26B_mfd_home:B5,Label for an MFD button (short!).,GPS,
F/A-26B_mfd_home:B5_tooltip,Tooltip for an MFD button.,GPS Targets,GPS ターゲット
F/A-26B_mfd_home:R2,Label for an MFD button (short!).,S-CAM,
F/A-26B_mfd_home:R2_tooltip,Tooltip for an MFD button.,Spectator Camera,観客カメラ
F/A-26B_mfd_home:R3,Label for an MFD button (short!).,GAME,
F/A-26B_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,ゲームメニュー
F/A-26B_mfd_home:R4,Label for an MFD button (short!).,LOG,
F/A-26B_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Log,フライトログ
F/A-26B_mfd_home:L2,Label for an MFD button (short!).,EQUIP,
F/A-26B_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,マウントした装備
F/A-26B_mfd_home:L3,Label for an MFD button (short!).,OPTION,
F/A-26B_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,オプション
F/A-26B_mfd_home:L4,Label for an MFD button (short!).,COMMS,
F/A-26B_mfd_home:L4_tooltip,Tooltip for an MFD button.,Communications,通信
F/A-26B_mfd_home:T4,Label for an MFD button (short!).,RADAR,
F/A-26B_mfd_home:T4_tooltip,Tooltip for an MFD button.,Radar,レーダー
F/A-26B_mfd_home:T5,Label for an MFD button (short!).,ARAD,
F/A-26B_mfd_home:T5_tooltip,Tooltip for an MFD button.,Anti-Radar Attack Display,アンチレーダーアタック表示
F/A-26B_mfd_home:R5,Label for an MFD button (short!).,DATA,
F/A-26B_mfd_home:R5_tooltip,Tooltip for an MFD button.,Flight Data,フライトデータ
F/A-26B_mfd_home:L5,Label for an MFD button (short!).,CMS,
F/A-26B_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasue System,対抗システム
